side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
Red,Team,Team,Damwon Gaming,,Pantheon,Syndra,Kayle,Rek'Sai,Twisted Fate,27.6,1,9,6,24,9,6,,,,,0,0,1,11.68925,0.3260869565,0.2173913043,0.5434782609,1,6.5357,3,1,3,1,0,1,1,1,0,0,1,15.53571667,0,15.55446667,1,1,9,1,1,23.055,1,0,29396,1065.072464,,,85,3.079710145,1,41,1.485507246,30,34,0.512195122,0.3137254902,51746,1212.927536,45383,0.1177815628,763,203,121,32,35,15683,14538,1145,25464,22332,3132,19194,17817,1377,362,296,66,535,422,113
Blue,Top,Sword,Griffin,Renekton,Rakan,Syndra,Quinn,Twisted Fate,Gangplank,29.8,0,3,5,1,7,16,1,0,0,0,0,0,1,4.939916667,0.1006711409,0.1006711409,0.7718120805,0,8.543183333,1,3,0,0,0,0,0,0,0,0,1,,0,10.9327,0,0,2,11,0,23.9087,0,1,5138,172.4161074,0.1544752112,0.239079925,18,0.6040268456,0.1592920354,9,0.3020134228,8,10,,,10912,234.5261745,11630,0.1212950296,235,10,7,0,8.22147651,3371,3553,-182,5145,4820,325,4098,4428,-330,77,61,16,129,93,36
Blue,Jungle,Tarzan,Griffin,Taliyah,Rakan,Syndra,Quinn,Twisted Fate,Gangplank,29.8,0,3,2,1,7,16,0,0,0,0,0,0,0,4.939916667,0.1006711409,0.06711409396,0.7718120805,0,8.543183333,1,3,1,3,0,0,1,0,0,0,1,,0,10.9327,0,0,2,11,0,23.9087,0,1,8852,297.0469799,0.2661375184,0.1565345302,28,0.9395973154,0.2477876106,8,0.2684563758,11,12,,,8499,153.5530201,8350,-0.05531295488,20,109,76,11,4.32885906,3331,3416,-85,4868,5200,-332,3650,2891,759,52,47,5,77,92,-15
Blue,Middle,Chovy,Griffin,Irelia,Rakan,Syndra,Quinn,Twisted Fate,Gangplank,29.8,0,1,3,2,7,16,0,0,0,0,0,0,0,4.939916667,0.03355704698,0.1006711409,0.7718120805,0,8.543183333,1,3,0,0,0,0,0,0,0,0,1,,0,10.9327,0,0,2,11,0,23.9087,0,1,8302,278.590604,0.2496016355,0.2561500253,12,0.4026845638,0.1061946903,7,0.2348993289,3,4,,,11411,251.2711409,11833,-0.03870219202,269,16,8,8,9.563758389,3230,3399,-169,5678,5180,498,4611,4754,-143,87,94,-7,153,138,15
Blue,ADC,Viper,Griffin,Lucian,Rakan,Syndra,Quinn,Twisted Fate,Gangplank,29.8,0,0,2,4,7,16,0,0,0,0,0,0,0,4.939916667,0,0.2684563758,0.7718120805,0,8.543183333,1,3,0,0,0,0,0,0,0,0,1,,0,10.9327,0,0,2,11,0,23.9087,0,1,9020,302.6845638,0.271188479,0.2595366785,11,0.3691275168,0.09734513274,11,0.3691275168,3,4,,,11510,254.5932886,11600,-0.2539981185,293,4,4,0,9.966442953,3275,3494,-219,5695,6855,-1160,3175,3398,-223,88,97,-9,151,164,-13
Blue,Support,Lehends,Griffin,Nautilus,Rakan,Syndra,Quinn,Twisted Fate,Gangplank,29.8,0,0,4,2,7,16,0,0,0,0,0,0,0,4.939916667,0,0,0.7718120805,0,8.543183333,1,3,0,0,0,0,0,0,0,0,1,,0,10.9327,0,0,2,11,0,23.9087,0,1,1949,65.40268456,0.05859715583,0.08869884101,44,1.476510067,0.389380531,9,0.3020134228,14,16,,,6516,87.00939597,6350,-0.06844106464,63,0,0,0,2.11409396,2037,2091,-54,3243,3388,-145,2436,2862,-426,15,14,1,29,24,5
Red,Top,Wunder,G2 Esports,Ornn,Pantheon,Qiyana,Kayle,Xayah,Ezreal,29.8,1,3,3,3,16,7,0,0,0,0,1,0,0,4.939916667,0.1006711409,0.1006711409,0.7718120805,0,8.543183333,3,1,0,0,0,0,0,0,0,0,0,,1,10.9327,1,1,11,2,1,23.9087,1,0,10406,349.1946309,0.1876273417,0.1652105781,11,0.3691275168,0.08661417323,3,0.1006711409,2,2,,,10544,222.1771812,10300,-0.1212950296,185,11,10,0,6.577181208,3553,3371,182,4820,5145,-325,4428,4098,330,61,77,-16,93,129,-36
Red,Jungle,Jankos,G2 Esports,Elise,Pantheon,Qiyana,Kayle,Xayah,Ezreal,29.8,1,2,1,7,16,7,0,0,0,0,0,1,0,4.939916667,0.06711409396,0.1006711409,0.7718120805,1,8.543183333,3,1,3,1,0,0,2,1,0,0,0,,1,10.9327,1,1,11,2,1,23.9087,1,0,8938,299.9328859,0.1611582914,0.1708249949,34,1.140939597,0.2677165354,16,0.5369127517,10,11,,,10769,229.7275168,8825,0.05531295488,51,123,59,15,5.838926174,3416,3331,85,5200,4868,332,2891,3650,-759,47,52,-5,92,77,15
Red,Middle,Caps,G2 Esports,Orianna,Pantheon,Qiyana,Kayle,Xayah,Ezreal,29.8,1,3,1,9,16,7,1,0,0,0,0,0,0,4.939916667,0.1006711409,0.03355704698,0.7718120805,0,8.543183333,3,1,0,0,0,0,0,0,0,0,0,,1,10.9327,1,1,11,2,1,23.9087,1,0,19481,653.7248322,0.3512558374,0.2347045819,14,0.4697986577,0.1102362205,8,0.2684563758,6,6,,,13329,315.633557,12300,0.03870219202,242,41,27,10,9.496644295,3399,3230,169,5180,5678,-498,4754,4611,143,94,87,7,138,153,-15
Red,ADC,Perkz,G2 Esports,Kai'Sa,Pantheon,Qiyana,Kayle,Xayah,Ezreal,29.8,1,8,1,2,16,7,2,0,0,0,0,0,0,4.939916667,0.2684563758,0,0.7718120805,0,8.543183333,3,1,0,0,0,0,0,0,0,0,0,,1,10.9327,1,1,11,2,1,23.9087,1,0,14365,482.0469799,0.2590108364,0.3291765023,13,0.4362416107,0.1023622047,18,0.6040268456,4,5,,,17115,442.6805369,14975,0.2539981185,293,37,12,19,11.0738255,3494,3275,219,6855,5695,1160,3398,3175,223,97,88,9,164,151,13
